#SampleID	T	Date	Bath	Tank	SourceSite	Extract	Temp	Nutrients	Fraction	BathName	TP	TP_Bath	TP_Bath_Site	Bath_Site	Partition	Treatment	SiteNumeric
AS2155	8tp	10-Oct-2019	4	18	SB	V	27	Recovery	epiphyte	D	8	8_D	8_D_SB	D_SB	18S	TN	0
AS2159	8tp	10-Oct-2019	4	20	SB	V	27	Recovery	epiphyte	D	8	8_D	8_D_SB	D_SB	20S	TN	0
AS2154	8tp	10-Oct-2019	4	17	SB	V	27	Recovery	epiphyte	D	8	8_D	8_D_SB	D_SB	17S	TN	0
Tank-16A	0tp	15-Aug-2019	4	16	W	V	27	FALSE	water	D	0	0_D	0_D_W	D_W	16W	TN	-1
Tank-16D	8tp	10-Oct-2019	4	16	W	V	27	Recovery	water	D	8	8_D	8_D_W	D_W	16W	TN	-1
Tank-16C	5tp	19-Sep-2019	4	16	W	V	31	TRUE	water	D	5	5_D	5_D_W	D_W	16W	TN	-1
Tank-17B	3tp	08-Sep-2019	4	17	W	V	31	TRUE	water	D	3	3_D	3_D_W	D_W	17W	TN	-1
Tank-17D	8tp	10-Oct-2019	4	17	W	V	27	Recovery	water	D	8	8_D	8_D_W	D_W	17W	TN	-1
AS2200					TY				Field							Field	
AS2201					TY				Field							Field	
AS2202					TY				Field							Field	
AS2203					TY				Field							Field	
AS2204					TY				Field							Field	
AS2205					TY				Field							Field	
AS2212					SB				Field							Field	
AS2213					SB				Field							Field	
AS2214					SB				Field							Field	
AS2215					SB				Field							Field	
AS2216					SB				Field							Field	
AS2217					SB				Field							Field	
