sample-id	faith_pd	Fraction	Treatment	SourceSite	TP
AS2078	42.779349088532456	epiphyte	TN	SB	3tp
AS2079	43.3276915450419	epiphyte	TN	SB	3tp
AS2080	43.66283758390088	epiphyte	TN	TY	3tp
AS2081	37.86749962120328	epiphyte	CTCN	TY	5tp
AS2082	44.63924852792336	epiphyte	CTCN	SB	5tp
AS2083	43.175108633345175	epiphyte	CTCN	SB	5tp
AS2085	38.098444189051925	epiphyte	CTCN	TY	5tp
AS2086	36.498196404639145	epiphyte	CTCN	SB	5tp
AS2087	37.414797691763575	epiphyte	CTCN	SB	5tp
AS2088	42.82871853620912	epiphyte	CTCN	TY	5tp
AS2089	40.43485335095304	epiphyte	CTCN	TY	5tp
AS2091	47.81992743779213	epiphyte	CTN	SB	5tp
AS2092	51.06263600216445	epiphyte	CTN	TY	5tp
AS2093	32.73563576435469	epiphyte	CTN	TY	5tp
AS2094	35.41022829614361	epiphyte	CTN	SB	5tp
AS2095	38.50718144121856	epiphyte	CTN	SB	5tp
AS2096	36.33462602058318	epiphyte	CTN	TY	5tp
AS2097	33.04054984677185	epiphyte	CTN	TY	5tp
AS2098	38.712288951172226	epiphyte	CTN	SB	5tp
AS2099	38.94544030147772	epiphyte	CTN	SB	5tp
AS2100	33.17558545840727	epiphyte	CTN	TY	5tp
AS2103	41.23147294103418	epiphyte	TCN	SB	5tp
AS2104	39.40497604275042	epiphyte	TCN	TY	5tp
AS2105	42.909330632278575	epiphyte	TCN	TY	5tp
AS2106	35.005302643330396	epiphyte	TCN	SB	5tp
AS2107	41.540444422660975	epiphyte	TCN	SB	5tp
AS2108	37.06984794966798	epiphyte	TCN	TY	5tp
AS2109	37.350294412151044	epiphyte	TCN	TY	5tp
AS2110	40.25033487937292	epiphyte	TCN	SB	5tp
AS2113	41.008061253495256	epiphyte	TN	TY	5tp
AS2114	39.936812825993634	epiphyte	TN	SB	5tp
AS2115	38.51236602407656	epiphyte	TN	SB	5tp
AS2116	38.29936541734384	epiphyte	TN	TY	5tp
AS2117	45.545843459413064	epiphyte	TN	TY	5tp
AS2118	45.5883766125311	epiphyte	TN	SB	5tp
AS2119	44.52007901246624	epiphyte	TN	SB	5tp
AS2120	43.37050693804813	epiphyte	TN	TY	5tp
AS2121	40.867974669751824	epiphyte	CTCN	TY	8tp
AS2122	44.721781457633845	epiphyte	CTCN	SB	8tp
AS2123	33.77560258604805	epiphyte	CTCN	SB	8tp
AS2124	40.117275277859825	epiphyte	CTCN	TY	8tp
AS2125	42.88769165853361	epiphyte	CTCN	TY	8tp
AS2126	47.28838504418576	epiphyte	CTCN	SB	8tp
AS2127	42.47434370692286	epiphyte	CTCN	SB	8tp
AS2128	50.716817601880464	epiphyte	CTCN	TY	8tp
AS2129	35.508734567083685	epiphyte	CTCN	TY	8tp
AS2130	43.8741660128986	epiphyte	CTCN	SB	8tp
AS2131	41.54964780303886	epiphyte	CTN	SB	8tp
AS2132	32.46881737338708	epiphyte	CTN	TY	8tp
AS2133	35.826218462047514	epiphyte	CTN	TY	8tp
AS2134	35.77306093797075	epiphyte	CTN	SB	8tp
AS2135	41.588419313929634	epiphyte	CTN	SB	8tp
AS2136	39.448624613524224	epiphyte	CTN	TY	8tp
AS2137	32.55226631694994	epiphyte	CTN	TY	8tp
AS2138	34.583638814465964	epiphyte	CTN	SB	8tp
AS2139	38.907166782021605	epiphyte	CTN	SB	8tp
AS2140	35.476796313192956	epiphyte	CTN	TY	8tp
AS2143	42.17021368613439	epiphyte	TCN	SB	8tp
AS2144	40.367435951851306	epiphyte	TCN	TY	8tp
AS2145	47.228174440038025	epiphyte	TCN	TY	8tp
AS2146	45.13889403942169	epiphyte	TCN	SB	8tp
AS2147	45.26248449435917	epiphyte	TCN	SB	8tp
AS2148	45.42505078848358	epiphyte	TCN	TY	8tp
AS2149	44.28891449432376	epiphyte	TCN	TY	8tp
AS2150	44.665501231463416	epiphyte	TCN	SB	8tp
AS2153	50.14144511763114	epiphyte	TN	TY	8tp
AS2154	47.758810549473296	epiphyte	TN	SB	8tp
AS2155	46.66350880290715	epiphyte	TN	SB	8tp
AS2156	43.95324455450295	epiphyte	TN	TY	8tp
AS2157	38.77281197398603	epiphyte	TN	TY	8tp
AS2158	36.248438583429774	epiphyte	TN	SB	8tp
AS2159	49.014257509716046	epiphyte	TN	SB	8tp
AS2160	44.666752701787914	epiphyte	TN	TY	8tp
Tank-12B	13.654236979998226	water	TCN	W	3tp
Tank-13A	10.812955700954557	water	TCN	W	0tp
Tank-13D	19.249760453365823	water	TCN	W	8tp
Tank-16C	16.821898946684062	water	TN	W	5tp
Tank-16D	23.162159417009693	water	TN	W	8tp
Tank-17B	11.233724170665202	water	TN	W	3tp
Tank-17D	25.268215390879888	water	TN	W	8tp
Tank-2A	15.00719101740443	water	CTCN	W	0tp
Tank-2B	9.52298831644599	water	CTCN	W	3tp
Tank-2C	15.660435750720625	water	CTCN	W	5tp
Tank-2D	16.034367947497337	water	CTCN	W	8tp
Tank-3A	11.787253929690161	water	CTCN	W	0tp
Tank-3B	11.122177407849406	water	CTCN	W	3tp
Tank-3C	15.782413653816512	water	CTCN	W	5tp
Tank-3D	20.071379912779392	water	CTCN	W	8tp
Tank-7B	12.150884490676743	water	CTN	W	3tp
Tank-7C	25.601681444599322	water	CTN	W	5tp
Tank-8A	12.244357887543547	water	CTN	W	0tp
Tank-8C	16.42284399298348	water	CTN	W	5tp
Tank-8D	16.804795901717018	water	CTN	W	8tp
