sample-id	faith_pd	Treatment	SourceSite	TP	t
AS2078	33.647048614959985	TN	SB	3tp	1
AS2079	34.489453845007056	TN	SB	3tp	1
AS2080	37.87585280170994	TN	TY	3tp	1
AS2081	31.860632885527142	CTCN	TY	5tp	2
AS2082	34.988545506591194	CTCN	SB	5tp	2
AS2083	32.55699907040943	CTCN	SB	5tp	2
AS2085	25.880492193061727	CTCN	TY	5tp	2
AS2086	28.923631902997855	CTCN	SB	5tp	2
AS2087	28.32310863727785	CTCN	SB	5tp	2
AS2088	31.27450223737088	CTCN	TY	5tp	2
AS2089	31.281429876010787	CTCN	TY	5tp	2
AS2091	39.09643078381997	CTN	SB	5tp	2
AS2092	42.33911947128698	CTN	TY	5tp	2
AS2093	23.009525295142065	CTN	TY	5tp	2
AS2094	26.471078545331363	CTN	SB	5tp	2
AS2095	28.034049038920212	CTN	SB	5tp	2
AS2096	29.069279658434606	CTN	TY	5tp	2
AS2097	24.63526591626687	CTN	TY	5tp	2
AS2098	27.900583527364553	CTN	SB	5tp	2
AS2099	29.21785883934143	CTN	SB	5tp	2
AS2100	22.72732007641963	CTN	TY	5tp	2
AS2103	29.74107162663272	TCN	SB	5tp	2
AS2104	31.260973748919234	TCN	TY	5tp	2
AS2105	32.70963937357533	TCN	TY	5tp	2
AS2106	26.14606567298307	TCN	SB	5tp	2
AS2107	32.59429848257544	TCN	SB	5tp	2
AS2108	28.13822038337711	TCN	TY	5tp	2
AS2109	31.98299602791136	TCN	TY	5tp	2
AS2110	32.98641831751985	TCN	SB	5tp	2
AS2113	32.093605288531606	TN	TY	5tp	2
AS2114	30.439209606534252	TN	SB	5tp	2
AS2115	29.755536736925823	TN	SB	5tp	2
AS2116	28.326784171166643	TN	TY	5tp	2
AS2117	36.10474646185686	TN	TY	5tp	2
AS2118	35.279368586203084	TN	SB	5tp	2
AS2119	34.53451511566877	TN	SB	5tp	2
AS2120	34.49255329226679	TN	TY	5tp	2
AS2121	32.5989240829697	CTCN	TY	8tp	3
AS2122	34.24187529386478	CTCN	SB	8tp	3
AS2123	23.048096743811193	CTCN	SB	8tp	3
AS2124	30.46432171324197	CTCN	TY	8tp	3
AS2125	33.764811441038624	CTCN	TY	8tp	3
AS2126	38.56591019715128	CTCN	SB	8tp	3
AS2127	35.091918759412195	CTCN	SB	8tp	3
AS2128	39.696872657171795	CTCN	TY	8tp	3
AS2129	27.808324772774547	CTCN	TY	8tp	3
AS2130	34.16602953889875	CTCN	SB	8tp	3
AS2131	31.36663683427741	CTN	SB	8tp	3
AS2132	24.19630620866011	CTN	TY	8tp	3
AS2133	26.200151663111907	CTN	TY	8tp	3
AS2134	25.23489548169398	CTN	SB	8tp	3
AS2135	30.704577679286476	CTN	SB	8tp	3
AS2136	28.950792790761493	CTN	TY	8tp	3
AS2137	24.05914092903916	CTN	TY	8tp	3
AS2138	26.94944696580573	CTN	SB	8tp	3
AS2139	29.021946873025133	CTN	SB	8tp	3
AS2140	26.257134328626496	CTN	TY	8tp	3
AS2143	31.7367827509194	TCN	SB	8tp	3
AS2144	32.478324203881684	TCN	TY	8tp	3
AS2145	36.54296882998989	TCN	TY	8tp	3
AS2146	33.775335872069576	TCN	SB	8tp	3
AS2147	34.13942294846477	TCN	SB	8tp	3
AS2148	35.6520857297395	TCN	TY	8tp	3
AS2149	36.94949132334219	TCN	TY	8tp	3
AS2150	36.233640166857256	TCN	SB	8tp	3
AS2153	38.239128079801006	TN	TY	8tp	3
AS2154	35.475507817478	TN	SB	8tp	3
AS2155	36.87389912206943	TN	SB	8tp	3
AS2156	34.14627577822287	TN	TY	8tp	3
AS2157	27.91026067925521	TN	TY	8tp	3
AS2158	28.641930873775877	TN	SB	8tp	3
AS2159	37.96989771315622	TN	SB	8tp	3
AS2160	34.04722610587912	TN	TY	8tp	3
